van_precinct_id,county_name,van_precinct_name,Current Region,Current Turf,Comments,HDs,voters,supporters,,
296003,Fairfax,913 - Rocky Run,R02 - Fairfax,R02B - Centreville,,9,5314,3272,,
295991,Fairfax,849 - Newgate North,R02 - Fairfax,R02B - Centreville,,10,2982,1740,,
296017,Fairfax,928 - Poplar Tree,R02 - Fairfax,R02B - Centreville,,9,3082,1836,,
295997,Fairfax,903 - Cub Run,R02 - Fairfax,R02B - Centreville,,9,5200,3080,,
296012,Fairfax,923 - Bull Run,R02 - Fairfax,R02B - Centreville,,9,2900,1415,,
295995,Fairfax,901 - Centre Ridge,R02 - Fairfax,R02B - Centreville,,10,4005,2611,,
2228514,Fairfax,862 - Willow Springs #2,R02 - Fairfax,R02B - Centreville,,10,1795,1088,,
2228481,Fairfax,935 - Robinson Mill,R02 - Fairfax,R02B - Centreville,,9,990,718,,
2228484,Fairfax,859 - Liberty,R02 - Fairfax,R02B - Centreville,,10,2311,1037,,
296013,Fairfax,924 - Spindle,R02 - Fairfax,R02B - Centreville,,10,2647,1769,,
296014,Fairfax,925 - Old Mill,R02 - Fairfax,R02B - Centreville,,10,2087,1253,,
295803,Fairfax,118 - Lake Braddock,R02 - Fairfax,R02C - East Fairfax,,15,4535,2997,,
295956,Fairfax,714 - Walker,R02 - Fairfax,R02C - East Fairfax,,12,4076,2852,,
295953,Fairfax,711 - Price,R02 - Fairfax,R02C - East Fairfax,,12,2371,1576,,
295804,Fairfax,119 - Laurel,R02 - Fairfax,R02C - East Fairfax,,10,4362,2764,,
297219,Fairfax (City),003 - Three,R02 - Fairfax,R02C - East Fairfax,,11,3951,2554,,
2228453,Fairfax,737 - Mosby #2,R02 - Fairfax,R02C - East Fairfax,,12,1172,797,,
297218,Fairfax (City),002 - Two,R02 - Fairfax,R02C - East Fairfax,,11,3227,2020,,
1569570,Fairfax,734 - Hunters Branch,R02 - Fairfax,R02C - East Fairfax,,11,3132,2265,,
2228496,Fairfax,136 - Woodson #2,R02 - Fairfax,R02C - East Fairfax,,11,1115,729,,
295802,Fairfax,117 - Woodson #1,R02 - Fairfax,R02C - East Fairfax,,15,2095,1376,,
295801,Fairfax,116 - Wakefield,R02 - Fairfax,R02C - East Fairfax,,14,2464,1585,,
297220,Fairfax (City),004 - Four,R02 - Fairfax,R02C - East Fairfax,,11,2831,1894,,
295795,Fairfax,108 - Kings Park,R02 - Fairfax,R02C - East Fairfax,,15,3344,2126,,
295958,Fairfax,718 - Pine Ridge,R02 - Fairfax,R02C - East Fairfax,,12,2745,1873,,
295796,Fairfax,109 - Little Run,R02 - Fairfax,R02C - East Fairfax,,15,1731,1111,,
295799,Fairfax,113 - Canterbury,R02 - Fairfax,R02C - East Fairfax,,14,3995,2592,,
1936187,Fairfax,723 - Gallows East,R02 - Fairfax,R02C - East Fairfax,,13,2800,2067,,
295961,Fairfax,721 - Merrifield,R02 - Fairfax,R02C - East Fairfax,,12,4720,3436,,
295810,Fairfax,125 - Signal Hill,R02 - Fairfax,R02C - East Fairfax,,15,3390,2161,,
2228503,Fairfax,137 - Sideburn #2,R02 - Fairfax,R02C - East Fairfax,,10,2159,1277,,
295951,Fairfax,709 - Mosby #1,R02 - Fairfax,R02C - East Fairfax,,11,2866,2061,,
295811,Fairfax,126 - Bonnie Brae,R02 - Fairfax,R02C - East Fairfax,,10,2626,1767,,
295808,Fairfax,123 - Robinson,R02 - Fairfax,R02C - East Fairfax,,10,5114,3344,,
1569564,Fairfax,134 - University,R02 - Fairfax,R02C - East Fairfax,,11,2115,1392,,
1845262,Fairfax,114 - Olde Creek,R02 - Fairfax,R02C - East Fairfax,,15,2422,1565,,
295805,Fairfax,120 - Sideburn #1,R02 - Fairfax,R02C - East Fairfax,,10,1133,623,,
295949,Fairfax,707 - Mantua,R02 - Fairfax,R02C - East Fairfax,,12,2595,1741,,
2228463,Fairfax,736 - Bedford,R02 - Fairfax,R02C - East Fairfax,,14,771,556,,
297221,Fairfax (City),005 - Five,R02 - Fairfax,R02C - East Fairfax,,11,2921,1880,,
295914,Fairfax,528 - Ridgelea,R02 - Fairfax,R02C - East Fairfax,,12,632,426,,
295800,Fairfax,115 - Ravensworth,R02 - Fairfax,R02C - East Fairfax,,14,1899,1133,,
295966,Fairfax,856 - Penderbrook,R02 - Fairfax,R02D - Fair Oaks,,11,4288,3070,,
295986,Fairfax,844 - Centerpointe,R02 - Fairfax,R02D - Fair Oaks,,11,3825,2662,,
