van_precinct_id,van_precinct_name,county_name,Current Region,Current Turf,HDs,Zips,voters,supporters
296276,504 - Chickahominy,Henrico,R07 - South Richmond,R07A - East,081,"23075, 23226, 23150",2824,1497
296289,517 - Sullivans,Henrico,R07 - South Richmond,R07A - East,081,"23503, 23231",4010,2998
296293,102 - Gunville,Henry,R13 - Southwest,R13A -  Greater CD9,047,24055,1763,182
296307,501 - Bassett #1,Henry,R13 - Southwest,R13A -  Greater CD9,047,"24055, 24168",1023,274
296392,616 - Eagle Ridge,Loudoun,R03 - Loudoun,R03A - Ashburn,028,"20169, 20147, 20148, 20155, 22032",4582,2555
296412,401 - West Lovettsville,Loudoun,R03 - Loudoun,R03C - HD 30,030,"20180, 20132, 22508",4157,1517
296504,903 - Clarksville North,Mecklenburg,R11 - Southside,R11A - Emporia,050,"23927, 24520, 24529",1706,401
296558,101 - 1a,Northumberland,R05 - Fredericksburg,R05A - East,067,"22435, 22511, 22572",1875,499
296560,301 - 3a,Northumberland,R05 - Fredericksburg,R05A - East,067,"22578, 22460, 22503, 22435, 22438, 22473, 22539, 22432, 22482",1968,1030
296562,401 - 4a,Northumberland,R05 - Fredericksburg,R05A - East,067,"22473, 22539, 22432, 22482, 22572",2270,518
296581,501 - Five South,Orange,R05 - Fredericksburg,R05E - West,063,"20111, 22508, 20109, 22554, 22405, 20190, 22407",3000,1111
296624,502 - Motley Sycamore,Pittsylvania,R13 - Southwest,R13C - The Hollers,048,"24139, 24563, 24557",2953,512
296639,101 - Subletts,Powhatan,R14 - Charlottesville,R14A - Central,072,"23139, 23832",2444,486
296703,401 - Evergreen,Prince William,R03 - Loudoun,R03B - HD 21,021,"22033, 20169, 20148, 22314, 22043",3377,1171
296706,405 - Ben Lomond,Prince William,R03 - Loudoun,R03B - HD 21,021,20109,3044,1938
296723,601 - Dale,Prince William,R04 - Prince William,R04A - Dale City,024,22193,3384,2483
296725,603 - Hampton,Prince William,R04 - Prince William,R04A - Dale City,024,"22193, 22304",3335,2354
296855,402 - Swords Creek,Russell,R13 - Southwest,R13B - Galax,043,"24649, 24646, 24273, 24639, 24609, 24260",1985,85
297005,209 - Jeffersonville,Tazewell,R13 - Southwest,R13B - Galax,043,"24651, 23508, 24630, 24637, 24609",3932,327
297122,001 - First Ward,Buena Vista (City),R12 - Shenandoah,R12D - Staunton,037,24416,2310,284
297129,302 - Johnson,Charlottesville (City),R14 - Charlottesville,R14E - UV,054,"22304, 22903, 23221, 22904, 22901",3694,3018
297142,011 - Geneva Park,Chesapeake (City),R09 - Suffolk,R09F - South,091,23323,2876,1224
297148,017 - Indian Creek,Chesapeake (City),R09 - Suffolk,R09A - Chesapeake,090,23322,2294,420
297160,029 - Tanglewood,Chesapeake (City),R09 - Suffolk,R09F - South,092,23325,2465,872
297163,032 - Providence,Chesapeake (City),R09 - Suffolk,R09F - South,092,"23324, 23452, 23325",4126,3357
297185,003 - Third,Colonial Heights (City),R11 - Southside,R11E - Colonial Heights / Chesterfield,074,23834,2643,766
297186,004 - Fourth,Colonial Heights (City),R11 - Southside,R11E - Colonial Heights / Chesterfield,074,23834,3218,907
297220,004 - Four,Fairfax (City),R02 - Fairfax,R02C - East Fairfax,011,"22032, 22031, 22030, 22102",2831,1894
297252,109 - Phenix,Hampton (City),R08 - Newport News,R08A - Hampton,087,"23661, 23607, 23603, 23669",3967,3414
297262,201 - Patrick,Hampton (City),R08 - Newport News,R08C - HD 86,086,23669,3560,1943
297278,216 - Sandy Bottom,Hampton (City),R08 - Newport News,R08F - Port Warwick,087,23666,2135,1483
297283,202 - Southwest,Harrisonburg (City),R12 - Shenandoah,R12A - Harrisonburg,034,"22801, 24486, 22081, 22807",3637,2094
297332,110 - Greenwood,Newport News (City),R08 - Newport News,R08E - Nicewood,070,"23608, 23603",4397,3115
297392,107 - Wesley,Norfolk (City),R10 - Virginia Beach / Norfolk,R10D - Norfolk,093,23505,2900,1945
297465,029 - Manor High School,Portsmouth (City),R09 - Suffolk,R09E - Portsmouth,088,23701,1339,451
297592,009 - South Side Hills,Salem (City),R12 - Shenandoah,R12B - North Roanoke,040,24153,2388,511
297674,048 - Precinct 48,Virginia Beach (City),R10 - Virginia Beach / Norfolk,R10A - Virginia Beach,099,23454,2224,978
297692,066 - Precinct 66,Virginia Beach (City),R10 - Virginia Beach / Norfolk,R10A - Virginia Beach,098,"23456, 23462",2974,957
297703,077 - Precinct 77,Virginia Beach (City),R10 - Virginia Beach / Norfolk,R10C - HD 97,097,23452,3537,1588
892247,211 - Signal Hill,Prince William,R03 - Loudoun,R03E - Manassas,020,"20111, 20110",2249,1318
2228474,503 - Fire Tower,Isle of Wight,R09 - Suffolk,R09D - Misc,083,"23866, 23487, 23898",2038,392
295504,401 - Millboro,Bath,R12 - Shenandoah,R12D - Staunton,035,"24460, 24422",712,85
1569547,602 - Georgia Creek,Buckingham,R14 - Charlottesville,R14A - Central,056,"23936, 24590, 23924, 24599, 23921, 24562",957,427
1569589,208 - Oak Knoll,Hanover,R06 - North Richmond,R06E - North,060,"23005, 23116, 23069",2140,482
1569593,102 - Cypress Creek A,Isle of Wight,R09 - Suffolk,R09D - Misc,083,23430,3355,1033
1569612,201 - Hylton,Prince William,R04 - Prince William,R04A - Dale City,024,"22193, 20112",3410,2130
1569630,056 - Green Tree,Chesapeake (City),R09 - Suffolk,R09A - Chesapeake,091,"23321, 23320",2766,1491
1824846,313 - Cardinal,Prince William,R04 - Prince William,R04B - Dumfries,024,"22025, 22193, 20110, 22406, 22191",3435,2178
1824852,611 - Neabsco,Prince William,R04 - Prince William,R04A - Dale City,024,22193,3681,2613
1992813,105 - Piney Branch,Prince William,R04 - Prince William,R04D - HD 22,022,"20155, 20136",3331,1631
2257738,145 - Precinct 145,Arlington,R01 - Inner Nova,R01C - Ballston,001,22203,3088,2527
2257747,146 - Precinct 146,Arlington,R01 - Inner Nova,R01C - Ballston,001,"22201, 22203",4755,3676
2257752,111 - Precinct 111,Arlington,R01 - Inner Nova,R01G - Lee Heights,001,"22046, 22205, 22207, 22213",2312,1817
