van_precinct_id,county_name,van_precinct_name,Current Region,Current Turf,HDs,voters,supporters,precinct_name_doe,GEOID,centroid_lat,centroid_lon,min_lon,min_lat,max_lon,max_lat,Changed
297678,Virginia Beach (City),052 - Precinct 52,R10 - Virginia Beach / Norfolk,R10C - HD 97,97,4388,1947,PRECINCT 52,51810000052,36.80844174749928,-76.18067182180425,-76.19556997571645,36.797433791392685,-76.1654499448386,36.815352053431376,False
297702,Virginia Beach (City),076 - Precinct 76,R10 - Virginia Beach / Norfolk,R10C - HD 97,97,4056,2423,PRECINCT 76,51810000076,36.837892167982986,-76.11534009469727,-76.127496051321,36.832358052627455,-76.09701966505816,36.843384876545024,False
297652,Virginia Beach (City),026 - Precinct 26,R10 - Virginia Beach / Norfolk,R10C - HD 97,97,1998,778,PRECINCT 26,51810000026,36.820050001271426,-76.17495628680945,-76.18676372271425,36.81420386262764,-76.16501375258103,36.827480663340346,False
297638,Virginia Beach (City),012 - Precinct 12,R10 - Virginia Beach / Norfolk,R10C - HD 97,97,3999,1950,PRECINCT 12,51810000012,36.83126848487128,-76.08252726340984,-76.09639226908732,36.82179935230319,-76.0661533982839,36.838929800080365,False
1848147,Virginia Beach (City),098 - Precinct 98,R10 - Virginia Beach / Norfolk,R10C - HD 97,97,2357,1370,PRECINCT 98,51810000098,36.812180393610994,-76.11486570094179,-76.12225029699859,36.803898890083445,-76.10707370134618,36.819252402351765,False
297665,Virginia Beach (City),039 - Precinct 39,R10 - Virginia Beach / Norfolk,R10C - HD 97,97,2657,1167,PRECINCT 39,51810000039,36.85392105037754,-76.13084941010254,-76.13956311424438,36.843384876545024,-76.12231586503115,36.86617807098231,False
297679,Virginia Beach (City),053 - Precinct 53,R10 - Virginia Beach / Norfolk,R10C - HD 97,97,3435,1437,PRECINCT 53,51810000053,36.82241474739247,-76.1490944928105,-76.17078964856671,36.809836530021656,-76.12580772344006,36.83396840171934,False
297694,Virginia Beach (City),068 - Precinct 68,R10 - Virginia Beach / Norfolk,R10C - HD 97,97,2915,1133,PRECINCT 68,51810000068,36.80087739989931,-76.1486257029978,-76.16351292016786,36.79543171166976,-76.13030221309712,36.809836530021656,False
2274006,Bedford,105 - Diamond Hill Baptist Church,R13 - Southwest,R13E - Lynchburg,51,1384,141,Diamond Hill Baptist Church,51019000105,37.18281882566282,-79.6704066448529,-79.69799200820708,37.14542432796,-79.63565598914563,37.23182434583839,False
295603,Campbell,102 - New London,R13 - Southwest,R13E - Lynchburg,51,2978,470,NEW LONDON,51031000102,37.31363269009753,-79.27382952953643,-79.29622389391471,37.28730637184075,-79.24657188095084,37.33642169330285,False
295613,Campbell,501 - Spring Hill,R13 - Southwest,R13E - Lynchburg,51,3687,668,SPRING HILL,51031000501,37.31986118405628,-79.1823724388405,-79.2318188750909,37.268195371427375,-79.12137084472008,37.37595299978836,False
297305,Lynchburg (City),401 - Fourth Ward First Precinct,R13 - Southwest,R13E - Lynchburg,52,5657,2004,Ward IV Precinct 1,51680000401,37.36542604402124,-79.22893090797723,-79.2579678035423,37.3467703870933,-79.20002373863475,37.38763979159201,False
295513,Bedford,301 - New London Academy,R13 - Southwest,R13E - Lynchburg,51,2838,313,New London Academy,51019000301,37.32008989174367,-79.34336476392315,-79.3994859266287,37.3005703716114,-79.28215789083796,37.3479253819182,False
295531,Bedford,701 - Goode Vol Rescue Squad,R13 - Southwest,R13E - Lynchburg,53,2840,329,Goode Volunteer Rescue Squad,51019000701,37.37357816869303,-79.38432104367872,-79.45166194682616,37.30866637229646,-79.31781190498874,37.41977939518761,False
295608,Campbell,302 - Otter River,R13 - Southwest,R13E - Lynchburg,51,2028,305,OTTER RIVER,51031000302,37.14875016602908,-79.29310710084961,-79.44228262885983,37.056913836884064,-79.18647985257081,37.21732635722029,False
1816365,Bedford,201 - Bedford Christian Church,R13 - Southwest,R13E - Lynchburg,51,1037,152,Bedford Christian Church,51019000201,37.2597465941416,-79.54412647470876,-79.60644298721017,37.21875635043301,-79.46764794071923,37.313731365845946,False
295527,Bedford,601 - Montvale Elem School,R13 - Southwest,R13E - Lynchburg,53,2046,188,Montvale Elementary School,51019000601,37.41039859956197,-79.71429105913624,-79.81420605758703,37.342438368353704,-79.63419900529811,37.485169398149615,False
297294,Lynchburg (City),103 - First Ward Third Precinct,R13 - Southwest,R13E - Lynchburg,52,2586,1037,Ward I Precinct 3,51680000103,37.45383520031406,-79.21124546000611,-79.26173478448167,37.439368813675166,-79.18549074006935,37.46935582552626,False
297295,Lynchburg (City),104 - First Ward Fourth Precinct,R13 - Southwest,R13E - Lynchburg,52,1510,748,Ward I Precinct 4,51680000104,37.44563687156172,-79.17968642375187,-79.19070573966972,37.43488981369216,-79.16601872502011,37.46089282292304,False
297300,Lynchburg (City),301 - Third Ward First Precinct,R13 - Southwest,R13E - Lynchburg,52,1394,600,Ward III Precinct 1,51680000301,37.39381623872001,-79.16930543295506,-79.18116172817246,37.38756879459898,-79.15744271471684,37.40076379995503,False
295507,Bedford,102 - Hardy Vol Fire Co,R13 - Southwest,R13E - Lynchburg,51,1199,128,Hardy Volunteer Fire Company,51019000102,37.238993312244205,-79.82300795447571,-79.85712506185082,37.21514733727973,-79.78214803724784,37.26556334567713,False
295604,Campbell,201 - Walker,R13 - Southwest,R13E - Lynchburg,52,3193,657,WALKER,51031000201,37.322483949950865,-79.24158710253538,-79.27005188684535,37.306746376475935,-79.2217908719798,37.34677034924381,False
295615,Campbell,601 - Kings,R13 - Southwest,R13E - Lynchburg,51,2688,601,KINGS,51031000601,37.345024246690514,-79.10987741304253,-79.17303785701965,37.29990138045319,-79.0456058215431,37.394875000452046,False
295404,Amherst,101 - Wright Shop,R13 - Southwest,R13E - Lynchburg,53,1637,621,Wright Shop,51009000101,37.44449867236733,-79.04996139305382,-79.11559499993837,37.38581099981516,-78.97564000024354,37.492488999963165,False
295530,Bedford,604 - Bedford Elementary School,R13 - Southwest,R13E - Lynchburg,"053, 051",2865,671,Bedford Welcome Center,51019000604,37.3331892368335,-79.53447447054742,-79.57205238792949,37.31120336686243,-79.50244195722432,37.355382592423766,False
295528,Bedford,602 - Shady Grove Fire Department,R13 - Southwest,R13E - Lynchburg,51,2481,228,Shady Grove Fire Department,51019000602,37.3197464831877,-79.7294601557341,-79.8202120552361,37.2673853524394,-79.6349409966548,37.36393537136481,False
295411,Amherst,302 - Elon,R13 - Southwest,R13E - Lynchburg,53,3107,472,Elon,51009000302,37.55198482419995,-79.27593150199581,-79.43694699988986,37.44245100011079,-79.14595299992487,37.65737382320788,False
297297,Lynchburg (City),201 - Second Ward First Precinct,R13 - Southwest,R13E - Lynchburg,52,5306,3546,Ward II Precinct 1,51680000201,37.41968931045295,-79.16282112746916,-79.19011573697088,37.40195479985689,-79.13824970561505,37.44242581808261,False
295408,Amherst,202 - Temperance,R13 - Southwest,R13E - Lynchburg,53,1219,271,Temperance,51009000202,37.72897233663375,-79.15214395889296,-79.30301451876049,37.64417099986392,-79.00989200025566,37.814140999932775,False
295602,Campbell,101 - Brookville,R13 - Southwest,R13E - Lynchburg,52,2996,536,BROOKVILLE,51031000101,37.34214245297017,-79.25209784057705,-79.26980842453874,37.329224381901774,-79.23254699915455,37.35771599964656,False
1816366,Bedford,404 - Forest Recreation Center,R13 - Southwest,R13E - Lynchburg,53,1174,182,Forest Recreation Center,51019000404,37.36514858817914,-79.2642054250233,-79.29030889560393,37.35864438800922,-79.24372588248514,37.37863639266187,False
295620,Campbell,703 - Morris Church,R13 - Southwest,R13E - Lynchburg,51,1438,271,MORRIS CHURCH,51031000703,37.15573392370399,-78.91094254147094,-79.01350180117315,37.02230598046755,-78.8246689620162,37.252978378520325,False
295611,Campbell,402 - Court House,R13 - Southwest,R13E - Lynchburg,51,4382,686,COURT HOUSE,51031000402,37.26664665282713,-79.11918068957006,-79.19605785811504,37.19257935826435,-79.03295981508037,37.33547039057735,False
297301,Lynchburg (City),302 - Third Ward Second Precinct,R13 - Southwest,R13E - Lynchburg,52,4288,194,Ward III Precinct 2,51680000302,37.35222464034522,-79.17720699259904,-79.18735686340966,37.341958387560304,-79.16921771557838,37.366084785897584,False
2274017,Bedford,501 - Big Island Elementary School,R13 - Southwest,R13E - Lynchburg,53,1611,169,Big Island Elementary,51019000501,37.50663742110417,-79.42299667105203,-79.53864797982898,37.41073339306143,-79.29452690537612,37.61825543413307,False
295616,Campbell,602 - Concord,R13 - Southwest,R13E - Lynchburg,51,3218,503,CONCORD,51031000602,37.352429417265995,-79.0154931787784,-79.0857578314755,37.27999938242849,-78.94069731076229,37.43367700002148,False
295514,Bedford,302 - Bedford County Gym,R13 - Southwest,R13E - Lynchburg,51,2407,330,Bedford County Gym,51019000302,37.26906718745676,-79.45722877870315,-79.57370097883386,37.20931834988725,-79.34887190603044,37.32389836954073,False
297293,Lynchburg (City),102 - First Ward Second Precinct,R13 - Southwest,R13E - Lynchburg,52,4045,1365,Ward I Precinct 2,51680000102,37.43436919515636,-79.23272727256732,-79.27139478914337,37.41475680027664,-79.19295274150396,37.45009881289869,False
